sentence,sentiment
بڑھتے ہوئے آلو کے لئے ہندوستانی کسانوں پر مقدمہ چل رہا ہے,neg
تیار لباس ہے,pos
، نائیک ، پرامن احتجاج کے امریکی آئینی حق کی حمایت کرنے پر آپ کا شکریہ,pos
جنید زیا نے عمدہ بولنگ کی,pos
اس معاملے کو دیکھنے میں مجھے زیادہ خوشی ہوگی,pos
سی ایم سیکیورٹی آپ کی رازداری کی حفاظت کرتی ہے,neu
میئ نائکے کی جرسی کل وہ لی کیا ہو,pos
پاکستان میں قابل رحم انٹرنیٹ سروس,pos
قمیص آرام دہ ہے ، جینز موبائل جیب اور ٹوپی کے ساتھ ایڈجسٹ ہے,pos
دور رونا Gta 5 PUBG,neu
اس کے ارد گرد یہ ہے کہ صرف 9 فیصد پلاسٹک کو ری سائیکل کیا جاتا ہے!,neu
بہت خوب! میں نے اسے 10 بار دیکھا ہے اسے آسان بنائیں,pos
میں حیرت انگیز پیش کش رحیم یار خان میں استعمال کر رہا ہوں,pos
میں صرف کولیب کی وجہ سے ایک کیانا پرس خریدوں گا,neu
میں اپنے بہترین دوست کو پیسہ منتقل کرنا چاہتا ہوں,pos
آپ پہلے سے کہیں زیادہ بلند ہوسکے,pos
گفٹ اعلان kbh ہو gae,neu
میں ٹرانزیکشن ہسٹری حاصل کرنے سے قاصر ہوں,neu
ہوسکتا ہے کہ S9 + پہلے ہی ٹی وی میں شامل ہو,neu
کون سا پی ایس او راولپنڈی میں پوائنٹس کی واپسی کرے گا؟,neu
ہمیں اتفاق کرنا پڑے گا,neu
ہمیں NC میں ایک اور جانی راکٹ کی ضرورت ہے,neu
ہوم ٹیم جنوبی افریقہ رگبی میں خوش آمدید,pos
پشاور زلمی انشاء اللہ جیت جائے گا,pos
برائےکرم اس سے زیادہ دلچسپ سودے متعارف کروائیں!,pos
براہ کرم بارش کے مضمون کو ریشم کی تازہ کاری کریں,neu
خوش قسمت لوگ,neu
براہ کرم مجھے بتائیں کہ فوری طور پر کچھ حاصل کرنے کا کوئی طریقہ ہے تو ہر چیز فروخت ہوجاتی ہے,neu
اگر نائیک ظلم کے لئے کسی اسپیکر کی خدمات حاصل کرنا چاہتا ہے ...,pos
حیرت انگیز کاروبار اور مصنوعات,pos
میں HP پروڈکٹ کی اپنی آخری خریداری سے سخت مایوس ہوں,neg
ہمیں حیرت انگیز کیش بیک فراہم کرنے کے لئے جازکیش کا شکریہ,pos
0 کوریج اور متعدد شکایت کی لیکن کوئی فائدہ نہیں,neg
اسلام آباد میں آپ کے مقامات کہاں ہیں؟,neu
1 لاکھ پا 14٪ شخص کیٹنا ہوگا,neu
بالکل نیا کافی مرکب پسند ہے! لمبا,pos
کیا شاہین نے اپنے مسائل حل کیے ہیں جس کے ذریعے روزانہ کی بنیاد پر پروازیں منسوخ کی جارہی ہیں؟,neu
اب تک کا بہترین کولاب,pos
میں نے ڈھونڈا سستے معیار اور بدتمیز عملہ یہاں تک کہ برگر کا سائز بھی چھوٹا ہے اور وہ ملی چاک شیک نہیں دے رہے ہیں,neg
پیٹی بہت گندی اور گھٹیا ہے,neg
کوئی بونوسیس ہی دے دو فری میں ؟,neu
زبردست. بس اس پیش کش کو زیادہ دن تک نہ چلائیں ، یا آپ دیوالیہ ہوجائیں گے!,pos
550،000؟ نائی کُن؟ بی سی کترینہ کیف ٹی وی سی بہار اجتی ہے مشکل وقت؟,neg
سنڈے انتہائی کم معیار کا ہے ... مجھے نہیں معلوم کہ اتنا بڑا برانڈ اتنے کم معیار کے کھانے کی کس طرح خدمت کرسکتا ہے,neg
بہت اچھا,pos
واقعی کمزور سگنل,neg
اسد پارک میں جاز کا بہت خراب اشارہ,neg
مجھے یہ پسند ہے. میں چاہتا ہوں کہ آپ مجھے یہ فون گفٹ کریں,pos
جاز ڈسکاؤنٹ بازار کے ایس ایم ایس آفر KASE بینڈ ہو ge ...؟,neu
براہ کرم نوٹ کریں کہ نشا لینن کا یہ پلے لینڈ ایمپوریم مال لاہور میں ہے,neu
میں نے حال ہی میں وہاں کا دورہ کیا ہے,neu
عمدہ گانا اور راگ,pos
عظیم شاٹ فیسال بینک,pos
پہلے ہی ہالووین ہے,neu
یونی لیور سب اپنی اپنی زندگیوں میں زیادہ سے زیادہ باخبر اور متحرک ہو کر اپنا کام کر سکتے ہیں,pos
براہ کرم اسے ٹھیک کریں,neu
میں نے اپنے ڈیل پی سی پر بہت سے کھیل کھیلے ہیں گیمنگ ڈیل کے لئے بہترین ہیں,pos
یقینی طور پر کراچی کا بہت اچھا ذائقہ میرے شہر میں آتا ہے .. شکریہ بروڈ ویز پیزا,pos
کیا ہیش ٹیگ انسٹاگرام پر بھی کام کرتا ہے؟,neu
پرانا اسٹاک فروخت کر rhe ہا ہے جہاں تازہ ترین FN ورژن اسے پسند نہیں ہے,neg
مجھے کوریا پسند ہے,pos
بہت برا مجھے اب یہ اطمینان نہیں مل سکتا,neg
بڑی خواہش ہے ، کاش میں غریب نہ ہوتا,neu
یونلیور یہ بہترین کمپنی میں سے ایک ہے گرافکس ڈیزائنر کے طور پر میرے خواب میں,pos
عمار پارک کی واہ سے باہر اپنے اسٹمپ سے باہر ہے,neu
