Text,Label
دس ڈالر تو حبشی کا چُوپہ لگا کر گوں رایہ حرامی کما لیتا ھے  دن کے  چُوپے اور  ڈالر اضافی,o
تیری کڑی دی پھدی چے حبشی دا لن گانڈو باپ کی اولاد حرامی کتے,o
تم تو کسی ہندو مندر کے پجاری کی فصل ہو جو کُم کے ميلے ميں کھو گۓ تھے تيرے جيسے کٸ مودی کے حبشی حرامی بچے آۓ  شمشان گھاٹ چلے گۓ ليکن پاک فوج مضبوط سے مضبوط ايٹمی طاقت بن گٸ۔تيرے جيسے کنجر آج بھی انڈين را پر چل رہے ہيں لعنت ايسی جمہوريت پر جہاں تيرے جيسے سلامتی کے ادارے پر بھونکے۔,h
بيشرم بيغيرت ہندو مودی کے حبشی بچے تيرے جيسے کتوں کے دلوں ميں بغضِ پاک فوج کا سانپ دوڑتا ہے۔کاش تيرے جيسے ہندو حبشی حرامی انڈيا ميں پيدا ہوتے اور پھر زليل و رسوا ہوتے۔تم ضرور مرو گۓ کسی محبِ وطن پاکستانی کے ہاتھوں سے۔کيونکہ اِس طرح کی تزليل تو کوٸ دُشمن بھی آپنی فوج کی نہی کرتے۔,h
انڈين مودی کے عمار حبشی پِلے کيا يہ رنگ بازی تھی يا آپنی اُس حرامی بچی جو مودی ہندو کے نطفے کی پيداوار ہے اُو دی شادی وچ پنگڑے پا ريۓ۔يہ ثابت شدہ بات ہے تم صرف  انڈين فوج کو سپورٹ کرنے والے ہو۔کيونکہ جہاں پر بھی تم کو کوٸ پاک فوج کا سپاہی نظر آجاۓ فوراً غصہ سے لال پيلے ہوجاتے ہو۔,o
یہ وہ حرامی النسل لوگ ہیں جو آج تک پچھتاتے ہیں کہ پاکستان کی بجائے کہیں اور پیدا ہوئے ہوتے۔ تھوڑے سے کالے حبشی تھوڑے سے چٹے انگریز ہوتے,h
مودی کے حبشی حرامی بچے تو بھی پنگڑے ضرور ڈال ليکن ٹاٸم بڑھا دو تاکہ مودی کو تيرے پاگل کتے کا احساس ہو۔,h
سب سے بہتر کشمير کا حل يہ ہے جو تيرے جيسے انڈين فوج کے وفادار حرامی مودی کے حبشی بچے اِس ملکِ پاکستان ميں بيٹھے عيش کی زندگی گزار کر پاک فوج پر بھونکتے ہيں اُن کو بالکل ننگا کر کے انڈين سرحد کی طرف دھکيل ديا جاۓ  اِس طرح دشمن کی توپوں ميں کيڑے پڑھ جاۓ گے اور کشمير آزاد ہوجاۓ گا۔,h
آپ افسوس کس چيز کا کررہے ہيں يہ ايک ريہرسل تھی  کيا رينجرز پاکستان کے نہی ہے۔ليکن رياستی اداروں بھونکنے والوں غداروں کيليے ايک عليحدہ سے اپريشن کراچی کارپوريشن والے ايدھی کے زريے کررہے ہيں۔ مودی کے حبشی حرامی بچے چھپنے کی کوشش نہ کرو ضرور تم جيسے بھی آپنی اصلی جگہ پر پہنچ جاٶ گے۔,h
انار کلی جاگو مودی حرامی کا حبشی بچہ پُکارہا ہے کہ ميری انڈين را سے فنڈنگ آ چکی ہے۔پہلے حبشی نے زرداری کو نکلوايا پھر حبشی نے نواز کو نکلوايا اور اَب عمران خان کو نکلوانے کيليے سرتوڑ کوششيں کررہا ہے۔ مودی کا حبشی بچہ کسی حکمران کيخلاف نہی يہ شرپسند رياست اور پاک فوج کے مخالف ہے۔,h
بيغيرت مودی کے ناجاٸيز حبشی بچے تيرا باپ مودی آپنی فوج کا بجٹ پاکستان سے چار گنا بڑھا چکا ہے۔ روزانہ تيرا باپ مودی سرحد پر فاٸرنگ کررہا ہے مودی نے تم جيسے حرامی ايجنٹ چھوڑ رکھے ہيں جو پاک فوج سے ہر چيز چھيننا چاہتے ہے۔ايک انڈين فوجی کا خرچہ پاکستان کے چار فوجيوں پر کيا جاتا ہے۔,h
کسی انڈين گندی ہتھنی کے حبشی خنزير حرامی جانور کيوں جھوٹ بول بول کر آپنے سر ميں دھول ڈالتا ہے کيا تمہاری کوٸ عزت نہی ہے جو بيچ چوراہے بےعزت ہوتا رہتا ہے۔کيا وہ دن بھول گۓ جب نہ ہی سی اين جی اور نہ ہی پورا مہينہ پٹرول ملا تھا ديکھ  بھونک کيونکہ تم رياست اور پاک فوج کے بھی دُشمن ہو,o
بيغيرت حرامی غدار جلد آپنی اور آپنے باپ کی تصوير بھی اِسميں شامل کرلے۔عنقريب رياست مخالف بھونکنے والے تيرے جيسے حبشی کتوں کيخلاف بھی اپريشن شروع ہونے والا ہے۔پھر تم بھی کسی قصاٸ کے گندے پھٹے کے نيچے پڑا ہوگا۔ثابت ہوگيا تم جيسے جعلی غدار دانشور را سی آٸ اۓ اور موساد کے ايجنٹ ہيں۔,o
اگر تمہاری ماتا کا یار پلاسٹک کا۔ استعمال کرتا یا پھر اپنے ہاتھوں کا تو آج تیرے جیسا ایک حرامی کم ہوتا دنیا میں ۔۔۔  تو افریقہ جا اور کسی حبشی سے اپنا علاج کروا اس جگہ کا جہاں پے کیڑا ہے ۔۔,o
